NumElements,Datatype,Dataset,avgHistogram,avgScan,avgPaste,avgReorder,avgTotalGPU,avgTotalSTLCPU,avgTotalRDXCPU
1,uint32_t,Zeros,0.0910833,0.0573458,0.0605229,0.0313146,2.50242,0,0.49992
1,uint32_t,Range,0.0208625,0.0677365,0.0685062,0.0938125,2.65918,0.29994,0.60054
1,uint32_t,Inverted range,0.0806146,0.0365,0.0833771,0.0416937,2.67594,0.29992,1.17998
1,uint32_t,Uniform random,0.081125,0.0365073,0.0521104,0.0520979,2.58112,0.60026,1.35112
1,uint32_t,Random,0.0314042,0.0729594,0.0626125,0.0900458,3.9029,0.3999,1.56642
1,int32_t,Zeros,0,0.072875,0.02085,0.0627146,2.30154,0.1,0.09994
1,int32_t,Range,0.0938521,0.0312719,0.0416875,0.0104229,2.30208,0.29986,1.40084
1,int32_t,Inverted range,0.104242,0.00521042,0.0312771,0.0938104,2.30148,0.29986,1.30086
1,int32_t,Uniform random,0.0521521,0.0678021,0.02085,0.0521375,2.60254,0.50008,1.30086
1,int32_t,Random,0.0313083,0.0521146,0.0834063,0.0730292,2.70252,0.59972,1.40156
1,uint64_t,Zeros,0.0782396,0.0529974,0.0260594,0.0416979,4.83752,0,0.19958
1,uint64_t,Range,0.0780885,0.0531896,0.0678333,0.0573219,6.14588,0.2998,0.4005
1,uint64_t,Inverted range,0.0364833,0.0808026,0.0261146,0.0208396,4.60486,0.3001,0.80054
1,uint64_t,Uniform random,0.0938135,0.031324,0.0520219,0.0260771,4.70444,0.6002,2.00132
1,uint64_t,Random,0.036499,0.0843573,0,0.0469042,4.66252,0.59996,1.0007
1,int64_t,Zeros,0.0678073,0.0521089,0.0156323,0.0608448,4.78346,0.09982,0.09998
1,int64_t,Range,0.0569062,0.0717422,0.0417458,0.0834021,5.65776,0.29992,2.50242
1,int64_t,Inverted range,0.0312615,0.0599255,0.0416937,0.0781833,4.80326,0.49998,3.10238
1,int64_t,Uniform random,0.0417125,0.0703594,0.0403865,0.0677667,5.57888,0.50008,2.1473
1,int64_t,Random,0.0313469,0.064525,0.0364802,0.0521219,4.58076,0.70006,1.10064
2,uint32_t,Zeros,0,0.170132,0.0104229,0.0208875,0.10006,0,0
2,uint32_t,Range,0,0.0104531,0,0,0,0,0
2,uint32_t,Inverted range,0.243196,0.173098,0,0,2.53526,0,0
2,uint32_t,Uniform random,0.248883,0.162749,0,0.0104708,2.58986,0,0
2,uint32_t,Random,0,0,0.325498,0,0,0,0
2,int32_t,Zeros,0.0104708,0,0.335902,0,2.35338,0,0
2,int32_t,Range,0,0.0104094,0,0.335983,3.12526,0,0
2,int32_t,Inverted range,0,0,0,0,3.12636,3.12496,0
2,int32_t,Uniform random,0,0.0911906,0,0,1.8509,0,3.12478
2,int32_t,Random,0,0.0104219,0.229385,0,2.4022,0,0
2,uint64_t,Zeros,0.00521667,0.0262266,0,0.325546,6.45154,0,0
2,uint64_t,Range,0,0.0594703,0.163256,0.00524479,3.33504,0,0
2,uint64_t,Inverted range,0.162749,0.0590245,0,0,5.3936,0,0
2,uint64_t,Uniform random,0,0,0.162761,0.162755,3.12502,0,0
2,uint64_t,Random,0,0.0839359,0.0862469,0.163204,4.98958,0,0
2,int64_t,Zeros,0,0.0813849,0,0.162744,6.24986,0,3.1253
2,int64_t,Range,0.162768,0.0813849,0.162741,0,6.25032,0,0
2,int64_t,Inverted range,0,0.162743,0,0.162758,6.2501,3.12396,0
2,int64_t,Uniform random,0,0.0813833,0,0.162747,6.24986,0,3.12536
2,int64_t,Random,0,0.0813823,0.0104438,0.0519302,4.32266,0,3.12408
4,uint32_t,Zeros,0.0104646,0.165135,0,0,3.3711,0,0
4,uint32_t,Range,0,0,0,0,3.12414,3.12532,0
4,uint32_t,Inverted range,0,0,0,0,3.12302,0,0
4,uint32_t,Uniform random,0,0.173135,0,0.106835,1.32584,0,0
4,uint32_t,Random,0,0.175822,0,0,3.47584,3.1256,0
4,int32_t,Zeros,0.325406,0,0.0312896,0.286308,3.04894,0,0
4,int32_t,Range,0.0104146,0.00521146,0.0104354,0,0,0,0
4,int32_t,Inverted range,0.0312917,0.120736,0,0,2.61854,0,0
4,int32_t,Uniform random,0,0.16266,0.325523,0,3.12502,0,0
4,int32_t,Random,0,0,0,0,3.12344,0,0
4,uint64_t,Zeros,0,0.081375,0.325512,0,6.24998,0,0
4,uint64_t,Range,0,0.043138,0,0,4.88172,0,0
4,uint64_t,Inverted range,0.168446,0.0459448,0.162703,0.010425,5.29912,0,0
4,uint64_t,Uniform random,0,0.00521615,0.333241,0,6.59852,0,3.12472
4,uint64_t,Random,0,0.162731,0,0.108559,5.40922,0,0
4,int64_t,Zeros,0.00523229,0.00661198,0.162724,0.00520417,3.67864,0,0
4,int64_t,Range,0,0.00521146,0.103772,0,5.31984,0,3.12348
4,int64_t,Inverted range,0,0.00260365,0.162746,0.130646,5.83316,0,3.1232
4,int64_t,Uniform random,0.162752,0,0,0,3.12484,0,0
4,int64_t,Random,0,0.00521406,0.0740052,0.162747,1.72234,0,0
8,uint32_t,Zeros,0.32551,0,0,0.325523,3.12502,0,0
8,uint32_t,Range,0.325412,0,0,0,0,0,0
8,uint32_t,Inverted range,0,0,0,0,3.12496,0,3.1232
8,uint32_t,Uniform random,0,0.162758,0,0.32534,3.12496,0,0
8,uint32_t,Random,0.325412,0,0,0,3.32502,0,0
8,int32_t,Zeros,0.325542,0.0156365,0,0,2.96972,0,0
8,int32_t,Range,0.325521,0,0,0,3.125,0,3.12392
8,int32_t,Inverted range,0,0.162716,0,0,3.12414,0,0
8,int32_t,Uniform random,0,0.0356042,0.0104646,0,3.12554,0,3.12338
8,int32_t,Random,0,0.171198,0.0104771,0,3.38758,3.12548,0
8,uint64_t,Zeros,0,0.0996422,0,0,6.95122,0,0
8,uint64_t,Range,0.0966583,0,0.162725,0.00523229,2.0564,0,0
8,uint64_t,Inverted range,0,0.00260729,0.450799,0,5.73242,0,0
8,uint64_t,Uniform random,0,0,0.162768,0.162776,6.25044,0,3.12478
8,uint64_t,Random,0.0695823,0.0813807,0,0.0104187,4.66104,0,3.1249
8,int64_t,Zeros,0,0.0813453,0,0,6.24868,0,0
8,int64_t,Range,0,0.0813896,0.16275,0,3.12536,3.12314,0
8,int64_t,Inverted range,0,0.0813255,0.162761,0,3.12502,0,0
8,int64_t,Uniform random,0,0.162746,0.162771,0,6.25016,0,0
8,int64_t,Random,0,0.165593,0,0,6.25866,0,3.12342
16,uint32_t,Zeros,0,0,0.325429,0,3.12412,0,0
16,uint32_t,Range,0.325517,0,0,0,3.12496,0,0
16,uint32_t,Inverted range,0,0.00525417,0.0105375,0,0,0,3.12484
16,uint32_t,Uniform random,0.0104167,0,0.0105083,0,0,0,0
16,uint32_t,Random,0.32545,0,0,0,3.12432,3.1239,0
16,int32_t,Zeros,0,0.162716,0,0,3.12414,0,0
16,int32_t,Range,0,0.173117,0.202302,0,5.26594,0,0
16,int32_t,Inverted range,0,0,0,0,3.12462,3.1239,0
16,int32_t,Uniform random,0,0,0.0208875,0,1.65158,0,3.12354
16,int32_t,Random,0,0,0,0,3.12484,0,3.1242
16,uint64_t,Zeros,0.173602,0.0728479,0,0.0104438,6.33104,0,0
16,uint64_t,Range,0,0.0813672,0,0,3.1245,0,0
16,uint64_t,Inverted range,0.0585583,0.0839849,0,0.173443,7.6944,0,0
